Epoch,Train Loss,Val Loss,Val Accuracy
1,0.08930149601433177,4.3662074412231886e-05,100.0
2,0.00015832034913026852,4.450799129467548e-06,100.0
3,4.631701307889884e-05,9.629111652153813e-07,100.0
1,0.08512697959378389,5.731858143498883e-05,100.0
2,0.00021939549743543445,5.016980475863814e-06,100.0
1,0.007783559314034486,1.0167850335117059e-08,100.0
2,3.63357233685098e-08,0.0,100.0
3,1.0786708710700257e-08,0.0,100.0
4,4.297145982079275e-09,0.0,100.0
5,1.6077759101175889e-09,0.0,100.0
6,1.6516242733446812e-09,0.0,100.0
